EarShape,FaceShape,Whiskers,FurLength,BodySize,Tail,DietType,Animal
Pointy,Round,Yes,Short,Small,Yes,Carnivore,Cat
Pointy,Sharp,Yes,Short,Small,Yes,Carnivore,Cat
Pointy,Round,Yes,Long,Medium,Yes,Carnivore,Cat
Pointy,Sharp,Yes,Long,Medium,Yes,Carnivore,Cat
Floppy,Round,No,Short,Medium,Yes,Omnivore,Dog
Floppy,Sharp,No,Short,Large,Yes,Omnivore,Dog
Floppy,Round,No,Long,Large,Yes,Omnivore,Dog
Pointy,Sharp,No,Short,Medium,Yes,Omnivore,Dog
Long,Round,No,Short,Small,No,Herbivore,Rabbit
Long,Round,No,Long,Small,No,Herbivore,Rabbit
Long,Sharp,No,Short,Small,No,Herbivore,Rabbit
Pointy,Long,No,Short,Large,Yes,Herbivore,Horse
Pointy,Long,No,Long,Large,Yes,Herbivore,Horse
Pointy,Long,No,Short,Large,Yes,Herbivore,Horse
Pointy,Round,Yes,Long,Large,Yes,Carnivore,Lion
Pointy,Sharp,Yes,Long,Large,Yes,Carnivore,Lion
Pointy,Round,Yes,Short,Large,Yes,Carnivore,Lion
